,eng,jp
28551,i know that.,分かってる 何だというんだ 大勢で。
28552,"please forgive our rude language and violence toward a higherranking officer, sir!",階級にあるまじき暴言と暴力 お許しください
28553,no! cali!,カリ!
28554,the weapon i am going to announce today surpasses even the m16,高値を付けた諜報機関に 売りつけている
28555,"i'm okay, piccolo!",えい。 あっ。
28556,"you're pretty smart, huh?",おおっ?
28557,you have no memory yet you recognize the smell of autumn?,記憶はねえくせに 秋の匂いが分かるのか...。
28558,maybe they've gone out somewhere.,いらっしゃいませんか 小田さんnどっか出かけてるんですかね
28559,is look up on the list,どの罪にあたるのかをリストで
28560,are you okay?,なにするの
28561,a talking zombie?,ゾンビが”脳みそ”と話した
28562,you'll teach me how to do it?,教えてもらえるんですか?
28563,anyone can bring a manuscript in.,原稿さえ描けば 誰でも できるって。
28564,what is this...?,何だって こんな場所に?
28565,so let's go now to the uniquely human world of language.,では 次に人間特有の 言語の世界を見てみましょう
28566,the after party?,已經沒有後路相互吸引的戀愛
28567,bullshit.,ウソつけ
28568,"so, in order to try to find out the answer to this",そこで原因究明のため 世界中から
28569,"so, do you love it or do you love it?",どう? 気に入った?
28570,have a bachelor's degree or higher.,大学を出ていないので
28571,"brad! brad, no!",ブラット、だめだ!
28572,something horrible's going on down here.,足元は大変なことになっています
28573,basically go back to what it looks like.,あるがままを見たい気もします
28574,and the patron of the vieux moulin told me that night you asked for a table for one.,ビュー・ムーランの経営者に聞いたのですが その夜 あなたは1人でテーブルを予約した
28575,thanks. chet did most of it.,ありがとう でもチェットが殆どしたのよ
28576,give me the crown and you can go back to equestria tonight.,王冠をよこすのよ そうすれば エクエストリアに帰れるわ
28577,"you know what, one time, he put me in an oil barrel and rolled me in the road.",いいかい? 一度、奴は僕を石油のドラム缶に入れて、
28578,you're talking about lunch?,ランチの話?
28579,"not flashy, and the modest, soothing type...",派手ではなくてnつつましやかな癒やし系
28580,or likes it too much.,好きすぎるかも
28581,from the parking lot to the diner.,駐車場から ダイナーに飛んだんだ?
28582,hold me tighter...,♪ Hold me tighter... ♪
28583,that's not it.,やっぱりnpcの女じゃあ その顔はできないよね
28584,"ollie, the guy from rolling stone... holy shit!",記者達が早くしろと・・・ 大変!
28585,his wife passed away and he was alone.,奥さん 亡くなられて 独りになっちゃったから。
28586,did he say what he wanted?,あとは彼を
28587,"er, right hand.",それと 右手
28588,"now you have always insisted, mr. stevens, that negroes are the same as white men are.",スティーブンス議員 あなたは常々 黒人と白人は同じだと 主張してきた
28589,seymour!,俺はこのバンドを持っている
28590,"come on, harry.",さあ ハリー
28591,i'm starting to feel a little bit afraid.,何か ちょっと 怖くなって来ちゃった。
28592,want to see your son.,息子に会いたい?
28593,why?,居ないの?
28594,then how could it be there?,そうすると どうやって これを入手したかよね
28595,sorry.,御免なさい 多蕗さん
28596,all your friends want you dead.,みんな、君に死んで欲しいと思ってる
28597,you need to understand...,君に理解して欲しい あなたがした事は
28598,daddy's got a bunch.,パパは沢山持ってるから
28599,yaay! the cellar!,わーい 地下室だ!
28600,i brought the recorder with your spells and...,あなたの呪文が入ったレコーダー 聖水も
28601,we're the first organization,私たちは貧しい人達に
28602,please,どうぞ。
28603,[growling] [muffled cheering and yelling] your friends didn't even cover you up.,友達は助けて くれなかったな
28604,"anyway, what we found so far are...",取りあえず 分かったことは
28605,thanksgiving dinner.,彼女は我々全員が一緒にいられるか
28606,can we cook him?,こいつ食えるかな?
28607,"you made her carry all the guns, oz?",彼女にほとんど運ばせてるのか?
28608,ah! chihirochan!,あああああちひろちゃん
28609,so i wanted to be here first...,先に着いておきたくて
28610,"oh, no, take your time.",あぁ 気楽にしてくれ
28611,it must be done in a single shot.,一発必殺でなければならないのだ
28612,two country girls in the big city.,田舎育ちの2人でしたから
28613,yeah. because of that song.,ーそう、あの歌
28614,no shit.,駄目だ
28615,you want to live?,生き残りたいか?
28616,is not in the four walls of a doctor's office,診療所ではなく
28617,i'm living alone now.,部屋 借りて 1人で住みよる。
28618,we have to stop it.,やめろ...。
28619,"no, that's too risky.",これでは 使用者にも リスクが大きすぎます。
28620,these kids were showing that they were really fluent,その新しい技術を 上手に使いこなせることを
28621,but i think i may have discovered what was on pushkov's laptop.,でも、見つけたかもしれない プシュコフのラップトップにあった
28622,just throw it away.,投げ捨てて
28623,wanted to talk about my research. my work.,私の研究について 話がしたいと
28624,battle of georgia straight!,ジョージアの戦いだ
28625,now i see it.,思い出したわ
28626,we weren't born to hate each other,僕たちは憎しみ合う為に 生まれてきたンじゃない
28627,most people can't just wish them away with a wave of their hand.,普通の人は 手を振って 検問所を消すことは 出来ないが・・・
28628,and they're not set up technically to find the device.,警察には装置を見つける技術が無い」 と言うのです
